r_no	u_no	r_date	r_start	r_end	r_time	r_car	r_seat
581	458	2025-02-12	84	79	10:00	5	D08
582	475	2025-02-12	63	34	23:15	7	B09
583	482	2025-02-12	16	13	18:00	6	D09
584	17	2025-02-13	9	10	16:30	2	A01
585	26	2025-02-13	73	77	20:00	3	A08
586	191	2025-02-13	86	82	10:00	1	C07
587	217	2025-02-13	79	85	10:00	3	C02
588	318	2025-02-13	80	85	18:00	3	C02
589	434	2025-02-13	69	65	8:00	4	B04
590	497	2025-02-13	90	91	14:00	2	A04
591	28	2025-02-14	90	88	10:00	1	B10
592	40	2025-02-14	79	78	18:00	1	A01
593	60	2025-02-14	67	70	10:00	3	A04
594	118	2025-02-14	44	32	17:00	10	A09
595	166	2025-02-14	37	46	6:00	5	A04
596	170	2025-02-14	79	84	18:00	4	C10
597	170	2025-02-14	87	90	18:00	3	B02
598	209	2025-02-14	53	43	9:45	1	B09
599	358	2025-02-14	2	4	18:30	5	B08
600	381	2025-02-14	19	30	7:00	2	A07
601	383	2025-02-14	54	36	18:45	8	B02
602	430	2025-02-14	72	64	12:00	7	B09
603	440	2025-02-14	47	35	19:00	3	A02
604	445	2025-02-14	24	26	9:00	3	B05
605	452	2025-02-14	72	67	14:00	6	A01
606	478	2025-02-14	52	42	7:00	2	C05
607	489	2025-02-14	88	88	18:00	1	B03
608	492	2025-02-14	36	45	11:00	7	D03
609	6	2025-02-15	15	11	15:30	10	B05
610	21	2025-02-15	87	88	14:00	4	D08
611	169	2025-02-15	88	90	18:00	3	A05
612	198	2025-02-15	86	85	18:00	1	A09
613	332	2025-02-15	65	66	20:00	3	B07
614	361	2025-02-15	70	64	8:00	7	C03
615	380	2025-02-15	58	36	23:30	2	C03
616	393	2025-02-15	78	85	18:00	2	C07
617	414	2025-02-15	53	46	16:15	3	C05
618	447	2025-02-15	82	81	18:00	3	C04
619	33	2025-02-16	81	78	14:00	4	D02
620	250	2025-02-16	33	40	10:00	2	A07
621	339	2025-02-16	90	90	18:00	2	A01
622	354	2025-02-16	20	23	19:00	4	D05
623	366	2025-02-16	2	12	12:00	4	A08
624	450	2025-02-16	82	83	18:00	4	B04
625	17	2025-02-17	42	44	6:00	1	C05
626	26	2025-02-17	31	24	20:00	3	A08
627	103	2025-02-17	89	88	14:00	4	B09
628	118	2025-02-17	27	26	7:40	3	A03
629	167	2025-02-17	91	89	18:00	3	B04
630	230	2025-02-17	77	69	16:00	5	B02
631	280	2025-02-17	1	13	18:00	5	C07
632	418	2025-02-17	57	37	19:45	4	A03
633	459	2025-02-17	34	42	8:00	10	D07
634	482	2025-02-17	82	80	18:00	3	A01
635	83	2025-02-18	91	91	14:00	3	C03
636	97	2025-02-18	45	35	15:00	6	B06
637	127	2025-02-18	70	65	14:00	8	D06
638	243	2025-02-18	52	32	17:15	3	C08
639	244	2025-02-18	47	40	19:45	4	D07
640	275	2025-02-18	1	5	10:30	8	C02
641	295	2025-02-18	8	4	23:30	1	C02
642	299	2025-02-18	88	88	10:00	3	C08
643	334	2025-02-18	35	38	9:00	4	D01
644	394	2025-02-18	37	46	18:00	2	A10
645	418	2025-02-18	85	83	14:00	4	C10
646	436	2025-02-18	35	43	18:00	9	B06
647	486	2025-02-18	57	32	14:45	6	D03
648	13	2025-02-19	67	66	14:00	1	C07
649	37	2025-02-19	61	32	12:30	2	A05
650	255	2025-02-19	62	44	13:00	3	C06
651	284	2025-02-19	90	91	10:00	2	A08
652	300	2025-02-19	32	35	22:00	7	B03
653	344	2025-02-19	83	82	14:00	1	B01
654	354	2025-02-19	35	33	14:00	9	B03
655	360	2025-02-19	26	27	21:00	1	B05
656	374	2025-02-19	80	80	18:00	4	D01
657	428	2025-02-19	73	70	18:00	7	B02
658	492	2025-02-19	83	83	14:00	6	D06
659	99	2025-02-20	6	14	8:00	8	A02
660	107	2025-02-20	89	88	14:00	1	B10
661	161	2025-02-20	28	18	9:40	4	A01
662	167	2025-02-20	90	90	14:00	1	B09
663	212	2025-02-20	19	29	11:40	3	C10
664	242	2025-02-20	88	87	14:00	4	C06
665	243	2025-02-20	41	45	20:00	5	C07
666	263	2025-02-20	21	18	20:00	6	A10
667	269	2025-02-20	81	78	18:00	6	D01
668	272	2025-02-20	74	73	16:00	1	B01
669	412	2025-02-20	88	90	18:00	4	C03
670	423	2025-02-20	83	82	10:00	1	A05
671	446	2025-02-20	87	91	10:00	4	C08
672	453	2025-02-20	73	74	18:00	1	C05
673	97	2025-02-21	75	76	8:00	6	B06
674	119	2025-02-21	39	37	10:00	1	C02
675	121	2025-02-21	34	32	15:00	7	D07
676	206	2025-02-21	78	82	14:00	6	D04
677	295	2025-02-21	83	80	14:00	2	B05
678	302	2025-02-21	63	42	12:45	3	C09
679	328	2025-02-21	23	25	19:00	9	D04
680	344	2025-02-21	40	42	21:00	6	D04
681	389	2025-02-21	87	88	10:00	2	B08
682	393	2025-02-21	80	82	18:00	4	B04
683	410	2025-02-21	6	14	15:00	5	A01
684	414	2025-02-21	77	74	18:00	5	B07
685	41	2025-02-22	85	86	14:00	2	C07
686	81	2025-02-22	70	74	8:00	8	A04
687	136	2025-02-22	15	4	9:00	9	A09
688	147	2025-02-22	66	77	18:00	3	B01
689	153	2025-02-22	84	78	14:00	5	C06
690	161	2025-02-22	58	46	11:30	2	A10
691	223	2025-02-22	60	36	20:00	1	B07
692	290	2025-02-22	22	29	11:40	5	D06
693	292	2025-02-22	47	44	12:30	3	B02
694	341	2025-02-22	62	43	9:30	6	A05
695	360	2025-02-22	5	1	21:00	10	C04
696	468	2025-02-22	66	65	20:00	6	C09
697	6	2025-02-23	23	27	21:40	10	B02
698	193	2025-02-23	88	91	10:00	1	B03
699	247	2025-02-23	79	79	18:00	3	B04
700	249	2025-02-23	44	38	21:00	8	A04
701	280	2025-02-23	63	39	8:00	4	C06
702	312	2025-02-23	52	45	9:30	8	D09
703	326	2025-02-23	12	2	17:00	6	D10
704	459	2025-02-23	49	46	20:30	4	D01
705	463	2025-02-23	84	80	14:00	6	D07
706	486	2025-02-23	29	19	15:40	10	B09
707	13	2025-02-24	79	84	14:00	4	D02
708	87	2025-02-24	91	91	18:00	2	A02
709	115	2025-02-24	68	65	12:00	3	C07
710	134	2025-02-24	8	2	15:30	1	B07
711	175	2025-02-24	86	85	18:00	2	B03
712	188	2025-02-24	74	75	10:00	1	A06
713	203	2025-02-24	37	42	8:00	8	B05
714	236	2025-02-24	32	40	10:00	4	C10
715	241	2025-02-24	50	42	16:30	6	A04
716	262	2025-02-24	1	2	16:00	10	D07
717	347	2025-02-24	84	85	18:00	3	B03
718	385	2025-02-24	2	14	12:00	5	A03
719	440	2025-02-24	71	67	20:00	5	D04
720	485	2025-02-24	45	32	8:00	1	A09
721	488	2025-02-24	88	91	10:00	4	D09
722	61	2025-02-25	77	66	12:00	3	B01
723	139	2025-02-25	35	33	9:00	1	C01
724	165	2025-02-25	69	68	16:00	6	A07
725	273	2025-02-25	60	33	17:45	1	A07
726	405	2025-02-25	13	15	13:00	5	B09
727	487	2025-02-25	29	23	13:00	2	A05
728	2	2025-02-26	55	33	8:45	8	A10
729	81	2025-02-26	11	5	22:30	9	C02
730	96	2025-02-26	60	45	21:00	8	B07
731	110	2025-02-26	56	40	9:45	7	B05
732	119	2025-02-26	88	90	10:00	4	C02
733	145	2025-02-26	19	28	9:00	6	A04
734	153	2025-02-26	88	90	18:00	2	A05
735	161	2025-02-26	25	29	18:00	6	D04
736	252	2025-02-26	84	83	14:00	5	B08
737	265	2025-02-26	53	41	18:30	3	A10
738	269	2025-02-26	36	45	22:00	8	B03
739	308	2025-02-26	80	80	18:00	2	B04
740	405	2025-02-26	81	81	18:00	1	B09
741	417	2025-02-26	87	88	14:00	1	B01
742	420	2025-02-26	60	44	17:45	2	A06
743	422	2025-02-26	73	76	12:00	8	D05
744	489	2025-02-26	30	21	17:00	9	C09
745	497	2025-02-26	75	72	10:00	7	C03
746	28	2025-02-27	62	39	13:45	2	B03
747	56	2025-02-27	22	31	8:00	4	C05
748	108	2025-02-27	88	88	18:00	4	A10
749	128	2025-02-27	22	18	21:00	1	C09
750	144	2025-02-27	50	44	16:00	1	A06
751	214	2025-02-27	44	46	15:00	5	C10
752	224	2025-02-27	26	25	9:00	6	D10
753	242	2025-02-27	20	23	10:00	2	B06
754	245	2025-02-27	27	28	21:40	10	C05
755	329	2025-02-27	23	31	21:00	9	D10
756	331	2025-02-27	64	75	14:00	1	C06
757	335	2025-02-27	71	76	10:00	2	B07
758	383	2025-02-27	2	5	21:30	2	C04
759	394	2025-02-27	88	91	14:00	1	A07
760	417	2025-02-27	47	32	6:45	2	C10
761	440	2025-02-27	23	31	18:40	9	B08
762	461	2025-02-27	30	28	22:00	6	C08
763	482	2025-02-27	20	23	9:00	7	B02
764	7	2025-02-28	49	41	7:45	6	B09
765	26	2025-02-28	4	15	12:00	8	D05
766	39	2025-02-28	40	45	7:00	4	A08
767	60	2025-02-28	78	84	18:00	2	C10
768	91	2025-02-28	78	81	10:00	5	A09
769	99	2025-02-28	76	72	18:00	4	C03
770	113	2025-02-28	72	70	18:00	3	C03
771	148	2025-02-28	66	65	16:00	4	A01
772	207	2025-02-28	67	64	18:00	7	A09
773	278	2025-02-28	82	78	14:00	2	B03
774	279	2025-02-28	82	84	18:00	3	C10
775	284	2025-02-28	59	32	11:30	7	B05
776	301	2025-02-28	77	75	10:00	3	C07
777	305	2025-02-28	89	91	18:00	1	B04
778	350	2025-02-28	20	28	8:00	6	B09
779	384	2025-02-28	42	38	14:00	9	B07
780	479	2025-02-28	87	90	18:00	2	C04
781	64	2025-03-01	70	75	10:00	6	A02
782	125	2025-03-01	38	45	21:00	4	D02
783	188	2025-03-01	62	42	10:30	3	C08
784	194	2025-03-01	6	17	13:30	10	C07
785	222	2025-03-01	90	88	14:00	3	C07
786	225	2025-03-01	91	88	10:00	4	D04
787	282	2025-03-01	44	39	22:00	1	A08
788	310	2025-03-01	74	64	20:00	7	D07
789	380	2025-03-01	18	28	7:00	6	B03
790	499	2025-03-01	84	84	10:00	3	C07
791	143	2025-03-02	89	90	18:00	1	A07
792	160	2025-03-02	62	32	11:45	7	A06
793	239	2025-03-02	44	32	15:00	10	D05
794	256	2025-03-02	80	86	18:00	1	C06
795	275	2025-03-02	60	39	20:45	8	D02
796	368	2025-03-02	22	18	19:00	2	C08
797	370	2025-03-02	17	15	23:00	3	A06
798	416	2025-03-02	68	66	16:00	4	D06
799	452	2025-03-02	69	71	20:00	5	D07
800	495	2025-03-02	24	21	9:00	4	C03
801	59	2025-03-03	89	88	18:00	1	A08
802	73	2025-03-03	88	89	18:00	4	C09
803	248	2025-03-03	80	84	10:00	3	C02
804	253	2025-03-03	65	74	20:00	1	C06
805	303	2025-03-03	12	10	15:30	2	B01
806	320	2025-03-03	29	18	18:40	4	D09
807	386	2025-03-03	42	41	11:00	4	D06
808	389	2025-03-03	71	72	20:00	7	D08
809	454	2025-03-03	3	7	6:00	8	D09
810	456	2025-03-03	36	40	15:00	2	C10
811	475	2025-03-03	70	74	20:00	4	D04
812	27	2025-03-04	63	32	12:00	4	A04
813	29	2025-03-04	86	81	14:00	1	A04
814	75	2025-03-04	81	81	14:00	5	A10
815	114	2025-03-04	23	31	22:40	10	D08
816	159	2025-03-04	46	38	22:00	9	D10
817	190	2025-03-04	53	33	21:30	3	C03
818	202	2025-03-04	47	46	10:00	1	B06
819	227	2025-03-04	67	70	20:00	1	B07
820	261	2025-03-04	87	88	18:00	1	A04
821	271	2025-03-04	25	28	18:40	6	A09
822	276	2025-03-04	56	38	13:00	1	A01
823	295	2025-03-04	37	44	10:00	4	C02
824	311	2025-03-04	66	70	12:00	3	A04
825	329	2025-03-04	49	43	12:45	8	D03
826	457	2025-03-04	71	72	14:00	2	C10
827	2	2025-03-05	46	36	20:00	8	D02
828	17	2025-03-05	38	32	11:00	5	D03
829	181	2025-03-05	77	65	12:00	2	C05
830	187	2025-03-05	2	7	12:00	5	C02
831	192	2025-03-05	14	5	14:30	9	B09
832	268	2025-03-05	16	2	13:00	2	C05
833	345	2025-03-05	63	33	13:15	7	B01
834	379	2025-03-05	90	91	10:00	3	B02
835	407	2025-03-05	2	6	22:00	4	B10
836	428	2025-03-05	4	10	15:30	8	C06
837	460	2025-03-05	59	39	11:45	2	A04
838	481	2025-03-05	80	85	14:00	5	C08
839	493	2025-03-05	75	66	10:00	6	A09
840	12	2025-03-06	90	87	18:00	3	C06
841	18	2025-03-06	33	34	23:00	4	D09
842	23	2025-03-06	88	90	10:00	2	C07
843	42	2025-03-06	90	91	14:00	1	C02
844	64	2025-03-06	39	34	13:00	8	B08
845	90	2025-03-06	79	80	14:00	4	C07
846	113	2025-03-06	19	31	8:40	10	C09
847	143	2025-03-06	89	87	10:00	1	C06
848	148	2025-03-06	40	43	17:00	8	A04
849	159	2025-03-06	42	40	6:00	1	A08
850	200	2025-03-06	84	82	18:00	5	A03
851	205	2025-03-06	51	42	19:30	1	C08
852	230	2025-03-06	77	75	20:00	5	D09
853	281	2025-03-06	14	15	10:00	5	C02
854	288	2025-03-06	90	87	14:00	3	C09
855	374	2025-03-06	39	32	14:00	3	A07
856	411	2025-03-06	33	36	20:00	7	B02
857	57	2025-03-07	91	89	10:00	1	B02
858	128	2025-03-07	88	88	14:00	4	A02
859	152	2025-03-07	85	82	14:00	1	B03
860	246	2025-03-07	70	76	8:00	7	A10
861	264	2025-03-07	63	45	23:15	6	D08
862	277	2025-03-07	47	46	6:45	8	C09
863	285	2025-03-07	69	76	14:00	2	C02
864	306	2025-03-07	25	19	16:00	3	C04
865	312	2025-03-07	44	42	7:00	3	C09
866	332	2025-03-07	72	66	14:00	1	C05
867	365	2025-03-07	42	36	14:00	5	A07
868	374	2025-03-07	74	72	18:00	6	C03
869	395	2025-03-07	21	28	17:00	10	D03
870	410	2025-03-07	56	32	13:30	3	C09
871	437	2025-03-07	81	78	14:00	2	B03
872	46	2025-03-08	56	35	9:15	7	D04
873	58	2025-03-08	41	36	19:00	7	D08
874	90	2025-03-08	64	69	8:00	8	C02
875	91	2025-03-08	43	33	15:00	9	A04
876	164	2025-03-08	24	29	13:00	6	B01
877	184	2025-03-08	43	36	17:00	4	A10
878	193	2025-03-08	91	87	10:00	3	A01
879	243	2025-03-08	39	41	17:00	5	D04
880	264	2025-03-08	83	80	10:00	5	D09
881	328	2025-03-08	80	79	18:00	4	A05
882	373	2025-03-08	22	26	14:00	7	D04
883	429	2025-03-08	33	41	21:00	7	C05
884	2	2025-03-09	89	87	18:00	2	B07
885	4	2025-03-09	62	41	16:30	6	A01
886	60	2025-03-09	88	87	14:00	3	C10
887	240	2025-03-09	9	8	15:30	10	D02
888	366	2025-03-09	89	90	10:00	4	C01
889	400	2025-03-09	15	10	14:00	7	B05
890	419	2025-03-09	54	41	20:15	8	A08
891	465	2025-03-09	72	71	10:00	3	C09
892	479	2025-03-09	55	44	20:15	1	B07
893	3	2025-03-10	89	91	14:00	1	A02
894	4	2025-03-10	39	36	12:00	4	A02
895	53	2025-03-10	42	41	19:00	9	A03
896	82	2025-03-10	48	36	13:45	2	C08
897	147	2025-03-10	89	89	14:00	2	A04
898	156	2025-03-10	28	31	8:00	9	D03
899	224	2025-03-10	13	6	13:30	1	C10
900	233	2025-03-10	90	89	18:00	2	A06
901	240	2025-03-10	28	26	7:00	5	C08
902	246	2025-03-10	46	37	16:00	1	C05
903	258	2025-03-10	51	38	13:15	8	A08
904	260	2025-03-10	62	41	6:00	8	A05
905	303	2025-03-10	60	43	9:15	7	C06
906	370	2025-03-10	52	33	10:15	4	D08
907	428	2025-03-10	74	71	18:00	7	B08
908	442	2025-03-10	89	88	14:00	1	C07
909	47	2025-03-11	90	87	10:00	2	A06
910	220	2025-03-11	85	84	14:00	5	B09
911	223	2025-03-11	53	41	14:15	4	B09
912	270	2025-03-11	42	39	20:00	8	C08
913	329	2025-03-11	77	72	10:00	3	A01
914	330	2025-03-11	36	43	18:00	5	A02
915	351	2025-03-11	15	10	7:30	3	A02
916	380	2025-03-11	88	87	10:00	3	A05
917	385	2025-03-11	30	26	21:40	3	C03
918	20	2025-03-12	16	9	6:00	10	A04
919	57	2025-03-12	33	38	21:00	9	C03
920	84	2025-03-12	62	44	22:45	2	B07
921	174	2025-03-12	86	82	18:00	6	A03
922	196	2025-03-12	69	70	8:00	8	B03
923	264	2025-03-12	74	68	18:00	4	D10
924	302	2025-03-12	79	80	14:00	4	A10
925	319	2025-03-12	7	14	10:30	8	D10
926	361	2025-03-12	45	35	19:00	1	A10
927	434	2025-03-12	1	7	18:00	10	D01
928	21	2025-03-13	70	65	8:00	4	A10
929	101	2025-03-13	84	84	10:00	4	A02
930	112	2025-03-13	21	23	12:00	2	B03
931	161	2025-03-13	67	76	20:00	7	D07
932	193	2025-03-13	71	74	12:00	5	D05
933	209	2025-03-13	73	65	16:00	6	C02
934	262	2025-03-13	29	18	12:40	2	B02
935	270	2025-03-13	34	39	16:00	10	A07
936	273	2025-03-13	49	36	18:30	4	D09
937	279	2025-03-13	90	91	14:00	2	C07
938	305	2025-03-13	56	46	20:30	4	B07
939	306	2025-03-13	90	89	10:00	1	B04
940	314	2025-03-13	37	39	6:00	3	A03
941	318	2025-03-13	88	89	18:00	3	A03
942	359	2025-03-13	52	43	6:45	5	D05
943	385	2025-03-13	25	31	20:00	10	A07
944	412	2025-03-13	34	33	13:00	6	B09
945	420	2025-03-13	83	83	14:00	6	B08
946	453	2025-03-13	44	32	12:00	1	B04
947	54	2025-03-14	9	16	15:30	1	C06
948	65	2025-03-14	34	33	20:00	10	D05
949	98	2025-03-14	47	42	14:15	5	A03
950	119	2025-03-14	1	4	19:00	9	A04
951	127	2025-03-14	38	45	13:00	4	C09
952	147	2025-03-14	42	41	18:00	8	D08
953	197	2025-03-14	87	91	10:00	4	B08
954	212	2025-03-14	24	19	8:40	2	B08
955	215	2025-03-14	91	89	14:00	4	A03
956	280	2025-03-14	87	91	14:00	4	B03
957	288	2025-03-14	73	74	10:00	5	B09
958	355	2025-03-14	2	3	19:00	2	B03
959	370	2025-03-14	91	89	10:00	2	A04
960	377	2025-03-14	75	66	12:00	8	A03
961	414	2025-03-14	43	41	11:00	10	C03
962	462	2025-03-14	43	39	11:00	6	D08
963	470	2025-03-14	67	69	16:00	2	B01
964	489	2025-03-14	73	64	18:00	5	A05
965	29	2025-03-15	91	90	10:00	3	B06
966	60	2025-03-15	41	39	14:00	3	A05
967	95	2025-03-15	2	12	17:30	10	D06
968	99	2025-03-15	37	43	13:00	2	A06
969	111	2025-03-15	73	69	16:00	7	B04
970	138	2025-03-15	44	34	12:00	8	D09
971	224	2025-03-15	90	91	18:00	3	C06
972	253	2025-03-15	75	74	12:00	7	B03
973	260	2025-03-15	91	90	14:00	3	B08
974	337	2025-03-15	70	66	12:00	6	C04
975	345	2025-03-15	32	37	13:00	5	D08
976	361	2025-03-15	77	64	18:00	1	C03
977	467	2025-03-15	78	81	10:00	4	B05
978	487	2025-03-15	48	38	16:00	8	A01
979	491	2025-03-15	64	70	14:00	6	B04
980	494	2025-03-15	47	32	18:30	7	A07
981	495	2025-03-15	72	68	8:00	4	B06
982	73	2025-03-16	88	87	14:00	3	C05
983	140	2025-03-16	71	67	16:00	6	C10
984	141	2025-03-16	71	75	16:00	5	D07
985	158	2025-03-16	78	79	14:00	3	C05
986	200	2025-03-16	25	26	20:40	7	B01
987	235	2025-03-16	48	39	12:00	5	D10
988	251	2025-03-16	60	44	11:15	2	C07
989	273	2025-03-16	91	90	10:00	1	A01
990	324	2025-03-16	15	1	9:00	7	B02
991	324	2025-03-16	80	85	14:00	4	C06
992	378	2025-03-16	82	80	10:00	6	C06
993	380	2025-03-16	78	80	14:00	3	B02
994	438	2025-03-16	41	38	15:00	8	D02
995	457	2025-03-16	78	82	18:00	6	B01
996	487	2025-03-16	87	89	14:00	1	B07
997	56	2025-03-17	10	2	21:00	7	C07
998	68	2025-03-17	88	87	18:00	2	B04
999	79	2025-03-17	48	34	14:45	6	A03
1000	84	2025-03-17	87	90	18:00	3	C04
1001	120	2025-03-17	52	37	18:00	4	D04
1002	185	2025-03-17	72	66	16:00	8	D03
1003	209	2025-03-17	13	12	7:00	2	C05
1004	283	2025-03-17	81	86	18:00	6	C06
1005	285	2025-03-17	41	38	13:00	2	A07
1006	288	2025-03-17	36	46	7:00	6	B01
1007	389	2025-03-17	29	20	8:40	7	D01
1008	392	2025-03-17	30	31	18:40	7	D04
1009	443	2025-03-17	45	38	6:00	1	B02
1010	38	2025-03-18	80	82	10:00	1	A02
1011	49	2025-03-18	32	44	14:00	1	B08
1012	73	2025-03-18	64	75	16:00	4	A08
1013	77	2025-03-18	47	33	20:30	4	B07
1014	111	2025-03-18	89	87	10:00	2	C05
1015	235	2025-03-18	9	14	7:00	6	A07
1016	404	2025-03-18	91	89	18:00	2	C02
1017	461	2025-03-18	47	38	20:45	7	D09
1018	491	2025-03-18	31	24	12:00	7	B01
1019	109	2025-03-19	35	33	11:00	9	B01
1020	128	2025-03-19	24	27	11:40	1	A06
1021	147	2025-03-19	90	90	10:00	4	B09
1022	179	2025-03-19	82	81	18:00	2	A05
1023	223	2025-03-19	89	88	18:00	3	B04
1024	257	2025-03-19	36	40	14:00	9	B08
1025	285	2025-03-19	32	43	12:00	7	B07
1026	307	2025-03-19	85	86	14:00	4	A10
1027	314	2025-03-19	78	79	18:00	5	B07
1028	374	2025-03-19	91	90	18:00	2	C04
1029	397	2025-03-19	46	43	21:00	6	D05
1030	35	2025-03-20	75	66	16:00	2	A04
1031	81	2025-03-20	77	65	18:00	3	A02
1032	94	2025-03-20	72	67	16:00	1	A07
1033	110	2025-03-20	89	87	14:00	1	C03
1034	171	2025-03-20	90	88	18:00	4	B04
1035	249	2025-03-20	80	86	14:00	3	A10
1036	276	2025-03-20	91	87	14:00	3	C02
1037	310	2025-03-20	79	81	10:00	3	C06
1038	314	2025-03-20	84	86	10:00	6	B01
1039	484	2025-03-20	70	71	12:00	6	B01
1040	491	2025-03-20	38	41	13:00	9	D03
1041	13	2025-03-21	75	70	12:00	8	B07
1042	39	2025-03-21	30	27	14:00	5	B10
1043	70	2025-03-21	23	24	20:00	1	B07
1044	99	2025-03-21	87	89	18:00	3	C03
1045	110	2025-03-21	39	46	21:00	2	A06
1046	148	2025-03-21	46	38	23:00	1	A04
1047	206	2025-03-21	89	87	10:00	4	A08
1048	222	2025-03-21	83	85	14:00	1	C07
1049	229	2025-03-21	87	90	14:00	4	A07
1050	252	2025-03-21	66	67	16:00	6	B06
1051	258	2025-03-21	90	90	10:00	4	A08
1052	273	2025-03-21	86	80	10:00	6	C06
1053	358	2025-03-21	30	31	19:00	7	D05
1054	385	2025-03-21	88	87	10:00	3	B07
1055	407	2025-03-21	57	39	9:30	6	B06
1056	469	2025-03-21	4	7	13:00	5	B06
1057	4	2025-03-22	38	44	12:00	6	A07
1058	36	2025-03-22	76	74	20:00	1	A05
1059	39	2025-03-22	83	86	18:00	1	B01
1060	89	2025-03-22	55	36	9:45	1	B07
1061	106	2025-03-22	87	90	18:00	4	B09
1062	142	2025-03-22	78	85	14:00	5	B10
1063	184	2025-03-22	77	76	10:00	5	A09
1064	194	2025-03-22	76	72	12:00	5	D01
1065	229	2025-03-22	75	74	20:00	5	B05
1066	237	2025-03-22	28	19	20:00	1	B09
1067	244	2025-03-22	67	73	18:00	3	B03
1068	245	2025-03-22	79	79	18:00	3	A07
1069	259	2025-03-22	78	85	10:00	5	D08
1070	296	2025-03-22	46	40	14:00	6	B01
1071	301	2025-03-22	85	84	14:00	1	C10
1072	372	2025-03-22	65	67	16:00	6	D05
1073	383	2025-03-22	88	89	14:00	2	A10
1074	397	2025-03-22	40	46	20:00	6	D04
1075	450	2025-03-22	87	90	10:00	3	C03
1076	461	2025-03-22	73	65	16:00	2	A02
1077	95	2025-03-23	48	36	11:15	4	B07
1078	100	2025-03-23	1	12	10:00	1	B01
1079	107	2025-03-23	75	64	16:00	8	C04
1080	122	2025-03-23	8	1	7:00	7	D03
1081	124	2025-03-23	36	37	11:00	1	C08
1082	224	2025-03-23	28	27	11:40	7	C01
1083	235	2025-03-23	67	75	16:00	6	C10
1084	249	2025-03-23	28	31	15:40	7	D01
1085	412	2025-03-23	84	83	18:00	1	A06
1086	416	2025-03-23	57	40	16:45	1	C04
1087	456	2025-03-23	6	3	10:00	7	D10
1088	500	2025-03-23	87	88	18:00	1	C03
1089	10	2025-03-24	83	84	14:00	3	C05
1090	33	2025-03-24	79	82	14:00	1	C02
1091	67	2025-03-24	84	84	18:00	4	A05
1092	80	2025-03-24	71	75	8:00	3	B08
1093	157	2025-03-24	31	21	18:40	6	C01
1094	172	2025-03-24	43	41	11:00	10	D10
1095	196	2025-03-24	60	43	15:45	7	C08
1096	256	2025-03-24	77	70	16:00	3	B01
1097	355	2025-03-24	91	90	14:00	1	B07
1098	432	2025-03-24	18	19	18:40	2	B06
1099	438	2025-03-24	54	46	8:00	1	C10
1100	140	2025-03-25	83	81	14:00	2	C08
1101	178	2025-03-25	91	91	14:00	4	D01
1102	181	2025-03-25	71	68	18:00	4	D03
1103	303	2025-03-25	30	24	17:40	3	C01
1104	339	2025-03-25	16	5	15:30	4	D07
1105	350	2025-03-25	82	84	14:00	3	C06
1106	381	2025-03-25	72	65	12:00	4	A05
1107	411	2025-03-25	51	41	18:00	2	C10
1108	429	2025-03-25	69	73	20:00	6	B09
1109	431	2025-03-25	43	34	14:00	7	B01
1110	4	2025-03-26	82	80	14:00	1	A06
1111	45	2025-03-26	40	32	17:00	1	A05
1112	137	2025-03-26	65	67	8:00	2	C06
1113	172	2025-03-26	2	6	21:00	9	C07
1114	196	2025-03-26	35	41	10:00	9	D01
1115	218	2025-03-26	91	87	14:00	2	C03
1116	221	2025-03-26	22	20	18:00	9	D03
1117	242	2025-03-26	83	78	10:00	1	A04
1118	288	2025-03-26	88	89	10:00	3	B09
1119	303	2025-03-26	20	29	8:40	5	C10
1120	323	2025-03-26	16	2	6:30	7	A02
1121	333	2025-03-26	90	91	18:00	1	C09
1122	378	2025-03-26	28	20	19:40	10	D01
1123	411	2025-03-26	71	74	20:00	8	C07
1124	414	2025-03-26	16	4	13:00	2	B06
1125	467	2025-03-26	75	64	12:00	1	A01
1126	58	2025-03-27	73	76	18:00	2	A07
1127	153	2025-03-27	75	66	20:00	1	C01
1128	175	2025-03-27	91	90	18:00	1	A08
1129	263	2025-03-27	49	36	12:45	4	B04
1130	398	2025-03-27	20	25	13:40	5	A10
1131	443	2025-03-27	13	6	23:00	7	D03
1132	22	2025-03-28	73	64	18:00	4	A10
1133	47	2025-03-28	52	33	13:00	4	D09
1134	71	2025-03-28	49	35	16:15	3	C04
1135	85	2025-03-28	27	30	19:40	9	C03
1136	112	2025-03-28	60	39	20:00	6	A08
1137	114	2025-03-28	39	43	8:00	8	A03
1138	176	2025-03-28	17	9	19:00	1	C04
1139	262	2025-03-28	69	77	14:00	3	B03
1140	294	2025-03-28	41	40	18:00	6	D10
1141	332	2025-03-28	48	32	20:30	6	C06
1142	345	2025-03-28	40	38	23:00	1	A06
1143	352	2025-03-28	38	45	17:00	4	B01
1144	363	2025-03-28	75	77	14:00	1	A02
1145	389	2025-03-28	77	69	20:00	8	C07
1146	426	2025-03-28	90	89	14:00	1	B08
1147	430	2025-03-28	53	42	16:00	4	C09
1148	430	2025-03-28	84	83	18:00	3	A08
1149	458	2025-03-28	84	82	14:00	3	B04
1150	28	2025-03-29	55	37	16:45	2	C02
1151	120	2025-03-29	75	77	12:00	5	C05
1152	230	2025-03-29	83	84	18:00	2	B10
1153	324	2025-03-29	11	13	7:00	5	A06
1154	342	2025-03-29	81	84	14:00	4	B03
1155	443	2025-03-29	43	35	19:00	1	C10
